product;Montant de la dépense;shop_maj;Libellé coicop;Code coicop;code_mag;Nomen_mag
MARIETTE SAVON DE BILE DE BOEUF 100G;0.99;ACTION;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;211;Grande surface non spécialisée (grand magasin…)
MARIETTE PERCARBONATE DE SODIUM 500G = 4 X 1.99;7.96;ACTION;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;211;Grande surface non spécialisée (grand magasin…)
RESTAURANT KFC;12.7;KFC;Restaurants, cafés et autres établissements similaires - avec service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
PANTALON 2 X 9.95€;19.9;MAXXILOT;Vêtements (SD);03.1.2;113;Magasins maxi-discompte
TEXTILE 6.95€;6.95;MAXXILOT;Articles d’habillement;03.1;113;Magasins maxi-discompte
PATEE TERRE MER 12 X 85G 13 X 4.99€;64.87;MAXXILOT;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;113;Magasins maxi-discompte
SIROP SPRITZ ORANGE 70CL;2.49;MAXXILOT;Autres boissons non alcoolisées;01.2.9.0.0;113;Magasins maxi-discompte
SIROP DE CITRON VERT 70CL;2.49;MAXXILOT;Autres boissons non alcoolisées;01.2.9.0.0;113;Magasins maxi-discompte
SIROP NOIX COCO 50CL;1.79;MAXXILOT;Autres boissons non alcoolisées;01.2.9.0.0;113;Magasins maxi-discompte
SIROP PAMPLEMOUSSE ROSE;2.49;MAXXILOT;Autres boissons non alcoolisées;01.2.9.0.0;113;Magasins maxi-discompte
SIROP CHOCOLAT 70CL;1.99;MAXXILOT;Chocolat, cacao et produits alimentaires à base de cacao (ND);01.1.8.5;113;Magasins maxi-discompte
PANIER UNIT 31C AUBERGINE 2 X 1.99€;3.98;MAXXILOT;Aubergines (aubergines), fraîches ou réfrigérées;01.1.7.2.3;113;Magasins maxi-discompte
PANIER RGT TERRA 32 X 22 X 15 3 X 1.50€;4.5;MAXXILOT;Ustensiles et articles de cuisine (SD);05.4.0.3;113;Magasins maxi-discompte
PANIER RGT JAUNE 32 X 22 X 15 2 X 1.50€;3;MAXXILOT;Ustensiles et articles de cuisine (SD);05.4.0.3;113;Magasins maxi-discompte
PANIER RGT VERT 32 X 22 X 15C;1.5;MAXXILOT;Ustensiles et articles de cuisine (SD);05.4.0.3;113;Magasins maxi-discompte
BILLET;9;VINCI AUTOROUTES;Installations de péage (S);07.2.4.2;651;Services de transports (transport en commun, taxi, autoroute…)
BAGUETTE THON CRUDITES;6.5;STATION-SERVICE E.LECLERC;Pain;01.1.1.3.1;235;Petite surface spécialisée dans la vente de carburant (station-service)
MAY TEA MENTHE 50CL;3.5;STATION-SERVICE E.LECLERC;thé glacé;01.2.3.0.3;235;Petite surface spécialisée dans la vente de carburant (station-service)
PARISIAN ROLL PISTACHE;4.6;STATION-SERVICE E.LECLERC;Produits alimentaires;01.1;235;Petite surface spécialisée dans la vente de carburant (station-service)
RESTAURANT MCDONALD'S;17.8;MCDONALD'S;Restaurants, cafés et autres établissements similaires - avec service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
BILLET;11.8;VINCI AUTOROUTES;Installations de péage (S);07.2.4.2;651;Services de transports (transport en commun, taxi, autoroute…)
PIZZA DOUDOU;13;PIZZA DOUDOU;Restaurants, cafés et autres – avec service complet (S);11.1.1.1;411;Restauration classique
PIZZA DOUDOU;13;PIZZA DOUDOU;Restaurants, cafés et autres – avec service complet (S);11.1.1.1;411;Restauration classique
SUPPL. OEUF;0.5;PIZZA DOUDOU;Restaurants, cafés et autres – avec service complet (S);11.1.1.1;411;Restauration classique
SUPPL. OEUF;0.5;PIZZA DOUDOU;Restaurants, cafés et autres – avec service complet (S);11.1.1.1;411;Restauration classique
BILLET;4;APRR;Installations de péage (S);07.2.4.2;651;Services de transports (transport en commun, taxi, autoroute…)
BILLET;9.8;APRR;Installations de péage (S);07.2.4.2;651;Services de transports (transport en commun, taxi, autoroute…)
JUS DE POIRE;3.9;CUEILLETTE DE GALLY;Jus de fruits et de légumes;01.2.1.0.0;323;Vente du producteur
PIVOINES + 6 25 X 1.70;42.5;CUEILLETTE DE GALLY;Plantes et fleurs;09.3.1.2.1;323;Vente du producteur
IRIS 6 X 0.50;3;CUEILLETTE DE GALLY;Plantes et fleurs;09.3.1.2.1;323;Vente du producteur
JUS DE POMMES;3.3;CUEILLETTE DE GALLY;Jus de fruits et de légumes;01.2.1.0.0;323;Vente du producteur
ARUM 5 X 0.95;4.75;CUEILLETTE DE GALLY;Plantes et fleurs;09.3.1.2.1;323;Vente du producteur
SOLHETTA N2 AMP 2 X 1.79;3.58;IKEA;Accessoires divers (SD);05.5.2.2;222;Grande surface spécialisée dans l’équipement de la maison
FINTSEN TA BAIN;1.59;IKEA;Autres textiles domestiques (SD);05.2.1.9;222;Grande surface spécialisée dans l’équipement de la maison
SAFFEROT COU;14.99;IKEA;Linge de lit et literie (SD);05.2.1.2;222;Grande surface spécialisée dans l’équipement de la maison
REMISE ECO-PARTICIPATION;-0.18;IKEA;Réduction;98.5;222;Grande surface spécialisée dans l’équipement de la maison
SILVERHOJDEN;14.99;IKEA;Articles d'ameublement, tapis et moquettes (D);05.1.1.4;222;Grande surface spécialisée dans l’équipement de la maison
FANTASTISK SERV;1.99;IKEA;Autres biens domestiques non durables (ND);05.6.1.9;222;Grande surface spécialisée dans l’équipement de la maison
PADRAG VASE 17;1.49;IKEA;Articles d'ameublement, tapis et moquettes (D);05.1.1.4;222;Grande surface spécialisée dans l’équipement de la maison
HEDERA HELIX;4.99;IKEA;Plantes et fleurs;09.3.1.2.1;222;Grande surface spécialisée dans l’équipement de la maison
SPATHIPHYLLUM;9.99;IKEA;Plantes et fleurs;09.3.1.2.1;222;Grande surface spécialisée dans l’équipement de la maison
SF WRAP SAUMON BISTR;4.5;IKEA;Restaurants, cafés et autres établissements similaires - avec service limité (S);11.1.1.2;222;Grande surface spécialisée dans l’équipement de la maison
FEUILLAGE STORE VOILE ENR 1.00;16.41;L'INCROYABLE;Autres matériaux;04.3.1.1.6;232;Petite surface spécialisée dans l’équipement de la maison
FEUILLAGE STORE VOILE ENR 1.00;16.41;L'INCROYABLE;Autres matériaux;04.3.1.1.6;232;Petite surface spécialisée dans l’équipement de la maison
OCB PREMIUM 5 X 1.20;6;CENTRAKOR;Autres produits du tabac (ND);02.3.0.9;222;Grande surface spécialisée dans l’équipement de la maison
SAC SOUPLE IM VISUEL;0.12;S.A.S UNICELLES;Autres biens domestiques non durables (ND);05.6.1.9;112;Supermarchés, magasins multi-commerces
TIPIAK ST J. GRAT. PO;3.55;S.A.S UNICELLES;Plats préparés à base de viande et/ou de poisson;01.1.9.1.2;112;Supermarchés, magasins multi-commerces
DATE COURTE ULTRA FR;1;S.A.S UNICELLES;Produits alimentaires et boissons non alcoolisées;1;112;Supermarchés, magasins multi-commerces
P&C PAIN SPORTIF PC/;2.09;S.A.S UNICELLES;Pain;01.1.1.3.1;112;Supermarchés, magasins multi-commerces
DATE COURTE ULTRA FR 2 X 1.00EUR;2;S.A.S UNICELLES;Produits alimentaires et boissons non alcoolisées;1;112;Supermarchés, magasins multi-commerces
TOP BUDGET LINGETTES;0.82;S.A.S UNICELLES;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;112;Supermarchés, magasins multi-commerces
KINGSBRAU BIERE ABBA;3.58;INTERMARCHE;Bière (ND);02.1.3.0;112;Supermarchés, magasins multi-commerces
BONTA DIVI.PROFITER;1.99;INTERMARCHE;Desserts et boissons à base de lait;01.1.4.7.0;112;Supermarchés, magasins multi-commerces
BONTA DIVI.PROFITER;1.99;INTERMARCHE;Desserts et boissons à base de lait;01.1.4.7.0;112;Supermarchés, magasins multi-commerces
COCA COLA PET 1.75L;2.02;INTERMARCHE;Boissons gazeuses;01.2.6.0.0;112;Supermarchés, magasins multi-commerces
BEN. RIZ MIC. OND. CHAM;1.47;INTERMARCHE;Plats précuits à base de pâtes et de céréales;01.1.9.1.1;112;Supermarchés, magasins multi-commerces
ELODIE CARRE TENDRE;2.05;INTERMARCHE;Autres confiseries et desserts sucrés n.c.a. (ND);01.1.8.9;112;Supermarchés, magasins multi-commerces
BOUCHERIE LS;4.65;INTERMARCHE;Viande, fraîche, réfrigérée ou surgelée (ND);01.1.2.2;112;Supermarchés, magasins multi-commerces
REDUCTION 2EME A -50 % B. DIVINA;-1;INTERMARCHE;Desserts et boissons à base de lait;01.1.4.7.0;112;Supermarchés, magasins multi-commerces
KINGSBRAU BIERE ABBA;2.58;INTERMARCHE;Bière (ND);02.1.3.0;112;Supermarchés, magasins multi-commerces
TOP BUDGET SIROP CIT;1.73;INTERMARCHE;Autres boissons non alcoolisées;01.2.9.0.0;112;Supermarchés, magasins multi-commerces
EXTREME FRAMBOISE CR;4.39;INTERMARCHE;Glaces, glaces et sorbets;01.1.8.6.0;112;Supermarchés, magasins multi-commerces
COCA COLA PET 1.75L;2.02;INTERMARCHE;Boissons gazeuses;01.2.6.0.0;112;Supermarchés, magasins multi-commerces
FIOR PIZZA CHEVRE LA;1.7;INTERMARCHE;Sandwichs, pizzas, quiches, tourtes à la viande ou au poisson, surgelés ou non;01.1.9.1.4;112;Supermarchés, magasins multi-commerces
LFC PAIN CRANBER/PEC;1.89;INTERMARCHE;Pain;01.1.1.3.1;112;Supermarchés, magasins multi-commerces
DC-ULTRA FRAIS;0.85;INTERMARCHE;Produits alimentaires;01.1;112;Supermarchés, magasins multi-commerces
DC-ULTRA FRAIS;1.28;INTERMARCHE;Produits alimentaires;01.1;112;Supermarchés, magasins multi-commerces
ASSORT. MINI VIENN. X;2.39;INTERMARCHE;Viennoiserie;01.1.1.3.9.2;112;Supermarchés, magasins multi-commerces
PASQUIER 10 PANCAKES;2.08;INTERMARCHE;Autres produits de boulangerie;01.1.1.3.9.4;112;Supermarchés, magasins multi-commerces
COEUR DE LAITUE 200G;1.25;ALDI;Laitue et chicorée, fraîches ou réfrigérées;01.1.7.1.4;113;Magasins maxi-discompte
EMMENTAL RAPE 200G;1.67;ALDI;Fromage;01.1.4.5.0;113;Magasins maxi-discompte
FROMAGE FONDU 24P 400G;2.69;ALDI;Fromage;01.1.4.5.0;113;Magasins maxi-discompte
FRO. FOND. 20 % PXM BTE RONDE X 24;2.44;SUPER U;Fromage;01.1.4.5.0;112;Supermarchés, magasins multi-commerces
PARMIGI. REGGIA. DOP RAP. 30 % 60G;1.6;SUPER U;Fromage;01.1.4.5.0;112;Supermarchés, magasins multi-commerces
SCE PESTO BASIL. ROQ. BARIL. 190G;1.94;SUPER U;Autres sauces et condiments;01.1.9.3.9;112;Supermarchés, magasins multi-commerces
FARFALLE PANZANI ST CELLO 500G;1.1;SUPER U;Macaroni, nouilles, couscous et produits similaires;01.1.1.5.0;112;Supermarchés, magasins multi-commerces
TENDERS DE POULET;7.99;FLUNCH;Restaurants, cafés et autres établissements similaires - avec service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
SAN PELLEGRINO 50CL EAU MINERALE NATURELLE GAZE;2.49;FLUNCH;Restaurants, cafés et autres établissements similaires - avec service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
STEAK HACHE OEUF A CHEVAL;8.99;FLUNCH;Restaurants, cafés et autres établissements similaires - avec service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
ASSIETTE DE LEGUMES;6.99;FLUNCH;Restaurants, cafés et autres établissements similaires - avec service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
CORNET 1 BOULE;1.59;FLUNCH;Restaurants, cafés et autres établissements similaires - avec service limité (S);11.1.1.2;412;Restauration rapide, ventes à emporter (yc ventes par camion) (pizza, glace)
TARTE CHEVRE TOMATE 400G;2.49;ALDI;Sandwichs, pizzas, quiches, tourtes à la viande ou au poisson, surgelés ou non;01.1.9.1.4;113;Magasins maxi-discompte
CHIPS DE CREVETTES 100G;1.29;ALDI;Autres plats cuisinés et repas préparés nca;01.1.9.1.9;113;Magasins maxi-discompte
COCA COLA ZERO 2L;2.05;ALDI;Boissons gazeuses;01.2.6.0.0;113;Magasins maxi-discompte
PRINGLES 185G;1.89;ALDI;Chips;01.1.7.9.4.2;113;Magasins maxi-discompte
RATATOUILLE 4/4;1.89;ALDI;Salades composées et plats préparés à base de légumes;01.1.9.1.3;113;Magasins maxi-discompte
PRINGLES 185G;1.89;ALDI;Chips;01.1.7.9.4.2;113;Magasins maxi-discompte
PRINGLES 185G;1.89;ALDI;Chips;01.1.7.9.4.2;113;Magasins maxi-discompte
CONCOMBRE;1.19;ALDI;Concombres et cornichons, frais ou réfrigérés;01.1.7.2.2;113;Magasins maxi-discompte
TOMATE CERISE 250G;0.99;ALDI;Tomates, fraîches ou réfrigérées;01.1.7.2.4;113;Magasins maxi-discompte
ASPERGES VERTES 100G;1.49;ALDI;Légumes en conserve;01.1.7.9.2;113;Magasins maxi-discompte
YAOURT VANILLE POT VERRE;1.29;ALDI;Yaourt et produits similaires;01.1.4.6.0;113;Magasins maxi-discompte
MOZZA XXL 2 X 125G;1.59;ALDI;Fromage;01.1.4.5.0;113;Magasins maxi-discompte
SAUTE DE POULET 5.65 X 1;5.65;LIDL;Plats préparés à base de viande et/ou de poisson;01.1.9.1.2;113;Magasins maxi-discompte
REM SAUTE DE POULET;-1.56;LIDL;Plats préparés à base de viande et/ou de poisson;01.1.9.1.2;113;Magasins maxi-discompte
CREME FOUETTEE 30 % 1.75 X 1;1.75;LIDL;Crème;01.1.4.3.3;113;Magasins maxi-discompte
FRAMBOISE 125G 1.99 X 1;1.99;LIDL;Framboises, fraîches;01.1.6.4.3;113;Magasins maxi-discompte
FRAISE 500G 2.99 X 1;2.99;LIDL;Fraises, fraîches;01.1.6.4.5;113;Magasins maxi-discompte
SAUCISSES STRASBOURG 1.58 X 1;1.58;LIDL;Saucisses et produits similaires de viande, abats ou sang;01.1.2.5.1;113;Magasins maxi-discompte
COMP. BIO SACS SUCRE 3.48 X 1;3.48;LIDL;Produits alimentaires;01.1;113;Magasins maxi-discompte
CEREAL BIO GAL-SAR/EN 2.09 X 2;4.18;LIDL;Autres céréales et produits de minoterie;01.1.1.9.0;113;Magasins maxi-discompte
CASSOULET 2.19 X 2;4.38;LIDL;Autres plats cuisinés et repas préparés nca;01.1.9.1.9;113;Magasins maxi-discompte
EPINARDS HACHES 795G 1.69 X 1;1.69;LIDL;Légumes en conserve;01.1.7.9.2;113;Magasins maxi-discompte
RATATOUILLE PROVENCA 2.99 X 1;2.99;LIDL;Salades composées et plats préparés à base de légumes;01.1.9.1.3;113;Magasins maxi-discompte
CONCOMBRE 0.79 X 2;1.58;LIDL;Concombres et cornichons, frais ou réfrigérés;01.1.7.2.2;113;Magasins maxi-discompte
TOMATE CERISE 4.29 X 1;4.29;LIDL;Tomates, fraîches ou réfrigérées;01.1.7.2.4;113;Magasins maxi-discompte
YAOURTS AROMATISES 2.79 X 1;2.79;LIDL;Yaourt et produits similaires;01.1.4.6.0;113;Magasins maxi-discompte
YOPLAIT PERLE LAIT 2.89 X 1;2.89;LIDL;Yaourt et produits similaires;01.1.4.6.0;113;Magasins maxi-discompte
LA LAITIERE MARONSUI 1.73 X 1;1.73;LIDL;Desserts et boissons à base de lait;01.1.4.7.0;113;Magasins maxi-discompte
CREME DESSERT CAFE 0.99 X 1;0.99;LIDL;Desserts et boissons à base de lait;01.1.4.7.0;113;Magasins maxi-discompte
PLATEAU SAUCISSES VO 5.99 X 1;5.99;LIDL;Saucisses et produits similaires de viande, abats ou sang;01.1.2.5.1;113;Magasins maxi-discompte
PARMENTIER DE POISSO 2.79 X 1;2.79;LIDL;Plats cuisinés à base de viande et/ou de poisson;01.1.9.1.2;113;Magasins maxi-discompte
RISOTTO AU POULET 2.69 X 1;2.69;LIDL;Plats précuits à base de pâtes et de céréales;01.1.9.1.1;113;Magasins maxi-discompte
COUSCOUS 2.25 X 1;2.25;LIDL;Plats précuits à base de pâtes et de céréales;01.1.9.1.1;113;Magasins maxi-discompte
FM PLAT PARM. BOEUF 3.67 X 1;3.67;LIDL;Plats préparés à base de viande et/ou de poisson;01.1.9.1.2;113;Magasins maxi-discompte
FRAISE D'AQUITAINE 2.76 X 1;2.76;LIDL;Fraises, fraîches;01.1.6.4.5;113;Magasins maxi-discompte
WEDGES QUARTIER 1.50 X 1;1.5;LIDL;Pommes de terre transformées, hors chips;01.1.7.9.4.1;113;Magasins maxi-discompte
POMME GOLDEN SACHET;3.49;INTERMARCHE;Pommes, fraîches;01.1.6.3.1;112;Supermarchés, magasins multi-commerces
CARTE BANCAIRE;41.31;STATION ESSENCE;Carte bancaire;98.3;235;Petite surface spécialisée dans la vente de carburant (station-service)
CARTE BANCAIRE;41.1;INTERMARCHE;Courses;98.1;112;Supermarchés, magasins multi-commerces
TENDER;39;BOULANGER;Autres préparations de viande, d'abats ou de sang nca;01.1.2.5.9;121;Boulangerie, pâtisserie, viennoiserie, confiseur, chocolatier
CARTE BANCAIRE;3.3;MARIE BLACHERE;Carte bancaire;98.3;121;Boulangerie, pâtisserie, viennoiserie, confiseur, chocolatier
CARTE BANCAIRE;40.01;E.LECLERC;Carte bancaire;98.3;111;Hypermarchés
LINDT CROQUANT NR 2 X 4.20€;8.4;E.LECLERC;Chocolat, y compris le chocolat blanc;01.1.8.5.1;111;Hypermarchés
CHOCO CRUNCH NOIR NESTLE 2 X 100G;2.4;E.LECLERC;Céréales pour petit déjeuner;01.1.1.4.0;111;Hypermarchés
CHOCOLAT CRUNCH LAIT 2 X 100G;1.94;E.LECLERC;Chocolat, y compris le chocolat blanc;01.1.8.5.1;111;Hypermarchés
VILLA LORANE ROSE 2022, 75CL;3.95;E.LECLERC;Vin de raisin (ND);02.1.2.1;111;Hypermarchés
BEIGNET POMME SURG X 12.900G;3.99;E.LECLERC;Viennoiserie;01.1.1.3.9.2;111;Hypermarchés
CREME FRAICHE 15 % MG, 20CL 2 X 0.78€;1.56;E.LECLERC;Crème;01.1.4.3.3;111;Hypermarchés
PRIMEVERE TARTINE DOUX, 500G 4 X 3.36€;13.44;E.LECLERC;Margarine et préparations similaires (ND);01.1.5.3;111;Hypermarchés
16NATURE, 2KG;2.25;E.LECLERC;Courses;98.1;111;Hypermarchés
COULOMMIERS 24 % 350G CROISES, 35;2.09;E.LECLERC;Fromage;01.1.4.5.0;111;Hypermarchés
OEUFS FRAIS SOL DJP X 12, 1P;2.66;E.LECLERC;Œufs de poule et autres volailles à coque, frais;01.1.4.8.1;111;Hypermarchés
DESS. POM/FRAISE ANDROS., 16 X 100G 3 X 3.28€;9.84;E.LECLERC;Autres confitures, gelées de fruits, marmelades, purées et pâtes de fruits;01.1.8.3.9;111;Hypermarchés
AIL BLANC;0.49;E.LECLERC;Ail, frais ou réfrigéré;01.1.7.4.2;111;Hypermarchés
PECHE PLATE BLANCHE;2.09;E.LECLERC;Pêches et nectarines, fraîches;01.1.6.3.5;111;Hypermarchés
OIGNON JAUNE PANIER DU PRIMEUR;1.79;E.LECLERC;Oignons et échalotes, frais ou réfrigérés;01.1.7.4.3;111;Hypermarchés
SUCRINE BICOLORE 3 PIECES CAT 1;1.29;E.LECLERC;Laitue et chicorée, fraîches ou réfrigérées;01.1.7.1.4;111;Hypermarchés
CONCOMBRE 2 X 1.05€;2.1;E.LECLERC;Concombres et cornichons, frais ou réfrigérés;01.1.7.2.2;111;Hypermarchés
PATE MARMITE;3.34;E.LECLERC;Autres légumes, légumineuses et tubercules conservés ou transformés;01.1.7.9.9;111;Hypermarchés
JAMBON DE VENDEE ENTIER;5.23;E.LECLERC;Viande de porc, coupes, salées, séchées ou fumées (lard et jambon);01.1.2.3.2;111;Hypermarchés
PAVE NATURE LR MN;1.43;E.LECLERC;Pain;01.1.1.3.1;111;Hypermarchés
PREFOU AIL PERSIL, 275G;4.5;E.LECLERC;Pain;01.1.1.3.1;111;Hypermarchés
SAUMON, 400G;5.35;E.LECLERC;Saumonidés, vivants, frais, réfrigérés ou congelés;01.1.3.1.2;111;Hypermarchés
BAT OASIS FRAISE/CIT/FRAM, 400G;2.54;E.LECLERC;Glaces, glaces et sorbets;01.1.8.6.0;111;Hypermarchés
BATONNET OASIS X 10.500ML;2.54;E.LECLERC;Autres poissons, préparés ou conservés;01.1.3.3.9;111;Hypermarchés
PANTACOURT;8.95;E.LECLERC;Vêtements (SD);03.1.2;111;Hypermarchés
BON IMMEDIAT;-2.77;E.LECLERC;Vêtements (SD);03.1.2;111;Hypermarchés
CARTE BANCAIRE;25.9;RELAY;Carte bancaire;98.3;231;Petite surface spécialisée Loisir, Culture et TIC
CARTE BANCAIRE;37.3;CRABE ROYAL;Restaurants, cafés et autres – avec service complet (S);11.1.1.1;411;Restauration classique
BAGUETTE 3 + 1;3.15;INTERMARCHE;Pain;01.1.1.3.1;112;Supermarchés, magasins multi-commerces
VIENNOISERIE 3 + 1;2.95;INTERMARCHE;Viennoiserie;01.1.1.3.9.2;112;Supermarchés, magasins multi-commerces
SILICA GEL LITIERE 4L 1 X 4.99€;4.99;ALDI;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;113;Magasins maxi-discompte
MOELLEUX AU CHOCOLAT 450 1 X 3.99€;3.99;ALDI;Biscuits et gâteaux;01.1.1.3.9.3;113;Magasins maxi-discompte
COUPE DE KALANCHOE 17CM 1 X 4.99€;4.99;ALDI;Plantes et fleurs;09.3.1.2.1;113;Magasins maxi-discompte
BOISSON LITCHI GOYAVE 1L 1 X 1.29€;1.29;ALDI;Jus de fruits et de légumes;01.2.1.0.0;113;Magasins maxi-discompte
CREME ANGLAISE UHT 1 X 1.39€;1.39;ALDI;Desserts et boissons à base de lait;01.1.4.7.0;113;Magasins maxi-discompte
SALADE COLESLAW 300G 1 X 1.19€;1.19;ALDI;Salades composées et plats préparés à base de légumes;01.1.9.1.3;113;Magasins maxi-discompte
EAU MIN PETILLANTE 9 X 50C 2 X 1.89€;3.78;ALDI;Eau;01.2.5.0.0;113;Magasins maxi-discompte
LAIT CHOCO UHT 6 X 200ML 1 X 1.89€;1.89;ALDI;Desserts et boissons à base de lait;01.1.4.7.0;113;Magasins maxi-discompte
KALANCHOE DECO 1 X 2.89€;2.89;ALDI;Plantes et fleurs;09.3.1.2.1;113;Magasins maxi-discompte
EMMENTAL 3 X 70G 1 X 1.89€;1.89;ALDI;Fromage;01.1.4.5.0;113;Magasins maxi-discompte
FROMAGE DE TETE 180G 1 X 1.99€;1.99;ALDI;Fromage;01.1.4.5.0;113;Magasins maxi-discompte
PENNE SAUMON 280G 1 X 3.09€;3.09;ALDI;Plats précuits à base de pâtes et de céréales;01.1.9.1.1;113;Magasins maxi-discompte
OEUFS AU SOL X 12 1 X 2.85€;2.85;ALDI;Œufs de poule et autres volailles à coque, frais;01.1.4.8.1;113;Magasins maxi-discompte
SALADE ICEBERG 300G 2 X 1.09€;2.18;ALDI;Laitue et chicorée, fraîches ou réfrigérées;01.1.7.1.4;113;Magasins maxi-discompte
TEE SHIRT;12.99;C&A;Vêtements (SD);03.1.2;223;Grande surface spécialisée dans l’équipement de la personne
ACCESSOIRES BLANC 12;5.99;KIABI;Accessoires vestimentaires (SD);03.1.3.2;223;Grande surface spécialisée dans l’équipement de la personne
TEESHIRT NOIR L;10;KIABI;Vêtements (SD);03.1.2;223;Grande surface spécialisée dans l’équipement de la personne
GASOIL 35.44L X 1.655â‚¬/L;58.65;INTERMARCHE;Gazole (ND);07.2.2.1;235;Petite surface spécialisée dans la vente de carburant (station-service)
ADTAB 225MG CHIEN CPR 3;26.95;GRANDE PHARMACIE;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;234;Petite surface spécialisée dans les biens médicaux (pharmacie)
CAPSTAR CPR 11.4MG CHAT;14.45;GRANDE PHARMACIE;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;234;Petite surface spécialisée dans les biens médicaux (pharmacie)
DEXERYL ESSENTIEL HLE DCH 500ML;6.9;GRANDE PHARMACIE;Savons, dentifrices et produits de toilette;13.1.2.0.3;234;Petite surface spécialisée dans les biens médicaux (pharmacie)
QUEUE DE CHARRUE BL;2.04;AUCHAN;Bière (ND);02.1.3.0;111;Hypermarchés
TROIS CHARIOT BIERE;1.95;AUCHAN;Bière (ND);02.1.3.0;111;Hypermarchés
LA G DE GOUDALE BLO;1.92;AUCHAN;Bière (ND);02.1.3.0;111;Hypermarchés
BIO RIGONI NOCCIOL 2 X 3.33;6.66;AUCHAN;Chocolat, cacao et produits alimentaires à base de cacao (ND);01.1.8.5;111;Hypermarchés
AUCHAN SNACK CHIEN;4.83;AUCHAN;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;111;Hypermarchés
AUCHAN SNACK CHIEN;1.41;AUCHAN;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;111;Hypermarchés
DUNKERQUOISE GAUFR;3.83;AUCHAN;Biscuits et gâteaux;01.1.1.3.9.3;111;Hypermarchés
FASHION MAKE UP VAO;1.95;AUCHAN;Produits de maquillage et de soin de la peau;13.1.2.0.2;111;Hypermarchés
MERE POULARD PALET;1.53;AUCHAN;Biscuits et gâteaux;01.1.1.3.9.3;111;Hypermarchés
DESODORISANT FRUITS;2.29;AUCHAN;Produits de nettoyage et d'entretien ménagers (ND);05.6.1.1;111;Hypermarchés
COTE D OR NOUGAT FO;2.48;AUCHAN;Chocolat, y compris le chocolat blanc;01.1.8.5.1;111;Hypermarchés
LINDT EXCELLENCE PA;2.2;AUCHAN;Chocolat, y compris le chocolat blanc;01.1.8.5.1;111;Hypermarchés
LAY S CHIPS CUITE;1.63;AUCHAN;Chips;01.1.7.9.4.2;111;Hypermarchés
PEDIGREE DENTASTIX;2.42;AUCHAN;Produits pour animaux domestiques et autres animaux de compagnie (ND);09.3.2.2;111;Hypermarchés
CABAS PP TISSE EVASI;1.74;INTERMARCHE;Autres biens domestiques non durables (ND);05.6.1.9;112;Supermarchés, magasins multi-commerces
COCA COLA SLEEK CAN6;3.74;INTERMARCHE;Boissons gazeuses;01.2.6.0.0;112;Supermarchés, magasins multi-commerces
LOOK ICED TEA PECHE;1;INTERMARCHE;thé glacé;01.2.3.0.3;112;Supermarchés, magasins multi-commerces
S. ELOI HARICOT VERT;1.95;INTERMARCHE;Légumes en conserve;01.1.7.9.2;112;Supermarchés, magasins multi-commerces
S. ELOI RATATOUILLE C;3.99;INTERMARCHE;Salades composées et plats préparés à base de légumes;01.1.9.1.3;112;Supermarchés, magasins multi-commerces
RANOU EMINCE PLT GRI;2.15;INTERMARCHE;Viande de volaille, fraîche, réfrigérée ou congelée;01.1.2.2.4;112;Supermarchés, magasins multi-commerces
RANOU EMINCE PLT GRI;2.15;INTERMARCHE;Viande de volaille, fraîche, réfrigérée ou congelée;01.1.2.2.4;112;Supermarchés, magasins multi-commerces
PAQ. COUPEL PM FRAMB;1.48;INTERMARCHE;Autres confitures, gelées de fruits, marmelades, purées et pâtes de fruits;01.1.8.3.9;112;Supermarchés, magasins multi-commerces
PAQ. COUP. POM/MANGUE;1.57;INTERMARCHE;Autres confitures, gelées de fruits, marmelades, purées et pâtes de fruits;01.1.8.3.9;112;Supermarchés, magasins multi-commerces
PAQ. COUPEL PM PEC AB;1.37;INTERMARCHE;Autres confitures, gelées de fruits, marmelades, purées et pâtes de fruits;01.1.8.3.9;112;Supermarchés, magasins multi-commerces
PAQUITO DES. POM/MANG;1.55;INTERMARCHE;Autres confitures, gelées de fruits, marmelades, purées et pâtes de fruits;01.1.8.3.9;112;Supermarchés, magasins multi-commerces
